,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC,pDC
PLCG2,0.2857142857142857,0.12944983818770225,0.11664708186447317,0.07692307692307693,0.22969187675070027,0.03618817852834741,0.4506172839506173,0.0880281690140845,0.16379310344827586,0.125
GADD45A,0.03571428571428571,0.5566343042071198,0.04253819036427732,0.0,0.028011204481792718,0.0024125452352231603,0.11728395061728394,0.06382042253521127,0.07758620689655173,0.09375
ZNF682,0.0,0.03559870550161812,0.005327066196631414,0.0,0.014005602240896359,0.0,0.030864197530864196,0.02772887323943662,0.0,0.03125
C12ORF10,0.10714285714285714,0.23300970873786409,0.12079905992949472,0.15384615384615385,0.10084033613445378,0.010856453558504222,0.25925925925925924,0.1949823943661972,0.13793103448275862,0.21875
STX18,0.03571428571428571,0.3074433656957929,0.10779475127301215,0.0,0.056022408963585436,0.007237635705669481,0.1728395061728395,0.1113556338028169,0.14655172413793102,0.1875
UNC119B,0.0,0.13915857605177995,0.01762632197414806,0.0,0.0196078431372549,0.0,0.043209876543209874,0.03609154929577465,0.04310344827586207,0.0625
PCLAF,0.0,0.042071197411003236,0.0045436741088915,0.0,0.022408963585434174,0.0012062726176115801,0.2839506172839506,0.22227112676056338,0.008620689655172414,0.0
HEXA,0.10714285714285714,0.22653721682847897,0.31758715236976104,0.07692307692307693,0.08123249299719888,0.13872135102533173,0.20987654320987653,0.12191901408450705,0.20689655172413793,0.21875
PGGHG,0.07142857142857142,0.08090614886731391,0.034782608695652174,0.0,0.028011204481792718,0.027744270205066344,0.024691358024691357,0.0721830985915493,0.008620689655172414,0.0625
SRSF8,0.39285714285714285,0.24271844660194175,0.04214649432040737,0.0,0.15126050420168066,0.0024125452352231603,0.25925925925925924,0.2125880281690141,0.12931034482758622,0.21875
GPRC5D-AS1,0.0,0.0744336569579288,0.0013317665491578536,0.0,0.0028011204481792717,0.0,0.006172839506172839,0.002640845070422535,0.0,0.0
EMC9,0.07142857142857142,0.13592233009708737,0.026870348609479046,0.0,0.06162464985994398,0.0048250904704463205,0.18518518518518517,0.11751760563380281,0.06896551724137931,0.03125
C19ORF53,0.6785714285714286,0.7961165048543689,0.5162553858206033,0.3076923076923077,0.5434173669467787,0.10132689987937274,0.7345679012345679,0.639524647887324,0.5862068965517241,0.75
TXNDC16,0.0,0.03559870550161812,0.013239326282804543,0.0,0.03361344537815126,0.007237635705669481,0.04938271604938271,0.035211267605633804,0.05172413793103448,0.0
LILRA6,0.0,0.045307443365695796,0.29471210340775555,0.0,0.0056022408963585435,0.1158021712907117,0.07407407407407407,0.03301056338028169,0.11206896551724138,0.125
MTHFSD,0.03571428571428571,0.05177993527508091,0.02318840579710145,0.0,0.01680672268907563,0.0024125452352231603,0.05555555555555555,0.043133802816901406,0.0,0.0
NCAPH2,0.14285714285714285,0.11003236245954692,0.04214649432040737,0.0,0.058823529411764705,0.008443908323281062,0.2654320987654321,0.17253521126760563,0.05172413793103448,0.03125
SDHAF2,0.07142857142857142,0.1715210355987055,0.08977673325499412,0.0,0.05322128851540616,0.026537997587454766,0.1111111111111111,0.08538732394366197,0.0603448275862069,0.09375
AL162377.1,0.07142857142857142,0.032362459546925564,0.014257735996866432,0.0,0.01680672268907563,0.0012062726176115801,0.012345679012345678,0.02420774647887324,0.017241379310344827,0.03125
CLIP4,0.03571428571428571,0.29449838187702265,0.09103016059537798,0.0,0.047619047619047616,0.016887816646562123,0.08641975308641975,0.061179577464788734,0.034482758620689655,0.0
RELA,0.17857142857142858,0.4563106796116505,0.36396396396396397,0.07692307692307693,0.1876750700280112,0.21109770808202655,0.30864197530864196,0.28653169014084506,0.33620689655172414,0.3125
TARSL2,0.07142857142857142,0.1423948220064725,0.06345475910693302,0.07692307692307693,0.12605042016806722,0.015681544028950542,0.2839506172839506,0.12411971830985916,0.08620689655172414,0.125
PPP1R11,0.25,0.40129449838187703,0.37124951037994514,0.0,0.2801120448179272,0.12907117008443908,0.2839506172839506,0.31558098591549294,0.3448275862068966,0.34375
DDX50,0.10714285714285714,0.17475728155339806,0.10278104191147669,0.0,0.11484593837535013,0.031363088057901084,0.2345679012345679,0.22755281690140844,0.15517241379310345,0.15625
AREG,0.03571428571428571,0.5566343042071198,0.13207990599294947,0.7692307692307693,0.35014005602240894,0.04342581423401689,0.11728395061728394,0.0801056338028169,0.3275862068965517,0.59375
SPG21,0.25,0.43042071197411,0.5572267920094007,0.0,0.1792717086834734,0.15922798552472858,0.5,0.3089788732394366,0.43103448275862066,0.46875
SNHG21,0.0,0.09061488673139159,0.008303956130043087,0.0,0.0196078431372549,0.0,0.05555555555555555,0.025528169014084508,0.02586206896551724,0.03125
UAP1,0.0,0.43042071197411,0.10199764982373678,0.07692307692307693,0.08123249299719888,0.024125452352231604,0.43209876543209874,0.07130281690140845,0.1206896551724138,0.34375
GON4L,0.17857142857142858,0.22006472491909385,0.12651782216999607,0.0,0.12044817927170869,0.020506634499396863,0.22839506172839505,0.19014084507042253,0.13793103448275862,0.15625
CD300LF,0.0,0.05501618122977346,0.16780258519388955,0.0,0.0028011204481792717,0.06031363088057901,0.037037037037037035,0.02420774647887324,0.06896551724137931,0.09375
RBL2,0.07142857142857142,0.2621359223300971,0.07959263611437524,0.0,0.17086834733893558,0.019300361881785282,0.16049382716049382,0.3164612676056338,0.13793103448275862,0.09375
YAE1D1,0.0,0.08414239482200647,0.022248335291813554,0.0,0.01680672268907563,0.0012062726176115801,0.06790123456790123,0.03125,0.017241379310344827,0.03125
SLC25A30,0.03571428571428571,0.12297734627831715,0.07128867998433217,0.07692307692307693,0.022408963585434174,0.007237635705669481,0.08641975308641975,0.051056338028169015,0.034482758620689655,0.0625
VAMP3,0.07142857142857142,0.42071197411003236,0.3735996866431649,0.15384615384615385,0.09243697478991597,0.09891435464414958,0.1728395061728395,0.12235915492957747,0.3793103448275862,0.15625
COG5,0.03571428571428571,0.12944983818770225,0.08343125734430082,0.0,0.058823529411764705,0.007237635705669481,0.09259259259259259,0.0664612676056338,0.0603448275862069,0.125
CSTF3,0.0,0.23300970873786409,0.09338033685859773,0.0,0.08683473389355742,0.013268998793727383,0.11728395061728394,0.1113556338028169,0.14655172413793102,0.125
SMARCD3,0.0,0.045307443365695796,0.03971797884841363,0.0,0.0056022408963585435,0.031363088057901084,0.012345679012345678,0.016725352112676055,0.02586206896551724,0.03125
RGS18,0.0,0.003236245954692557,0.017783000391696044,0.0,0.0056022408963585435,0.013268998793727383,0.0,0.01232394366197183,0.1206896551724138,0.03125
MRPL4,0.14285714285714285,0.34627831715210355,0.2163728946337642,0.07692307692307693,0.18207282913165265,0.019300361881785282,0.4691358024691358,0.3001760563380282,0.23275862068965517,0.21875
RIN3,0.21428571428571427,0.08090614886731391,0.15902859381120252,0.0,0.3025210084033613,0.04221954161640531,0.030864197530864196,0.12984154929577466,0.20689655172413793,0.03125
RNF187,0.25,0.28802588996763756,0.16936936936936936,0.15384615384615385,0.25770308123249297,0.021712907117008445,0.2654320987654321,0.33274647887323944,0.27586206896551724,0.1875
AURKB,0.03571428571428571,0.012944983818770227,0.0018801410105757932,0.0,0.0,0.0012062726176115801,0.2777777777777778,0.198943661971831,0.008620689655172414,0.0
GRK5,0.03571428571428571,0.022653721682847898,0.013474343909126519,0.0,0.056022408963585436,0.0024125452352231603,0.09876543209876543,0.12632042253521128,0.008620689655172414,0.0
CARNMT1,0.10714285714285714,0.11326860841423948,0.03164904034469252,0.0,0.028011204481792718,0.0012062726176115801,0.08641975308641975,0.07350352112676056,0.034482758620689655,0.03125
RIC8B,0.0,0.07766990291262135,0.013631022326674501,0.0,0.014005602240896359,0.0012062726176115801,0.024691358024691357,0.03389084507042254,0.0,0.03125
GTF3A,0.5357142857142857,0.39158576051779936,0.2934586760673717,0.23076923076923078,0.38375350140056025,0.05186972255729795,0.6666666666666666,0.5374119718309859,0.4396551724137931,0.65625
MYBBP1A,0.0,0.10355987055016182,0.032667450058754405,0.0,0.014005602240896359,0.0048250904704463205,0.22839506172839505,0.05237676056338028,0.008620689655172414,0.0625
RPL23,0.75,0.7961165048543689,0.5677242459851155,0.6153846153846154,0.6470588235294118,0.14354644149577805,0.7962962962962963,0.7389964788732394,0.7586206896551724,0.90625
PSMA6,0.4642857142857143,0.7022653721682848,0.7044261652957305,0.46153846153846156,0.5014005602240896,0.2436670687575392,0.6851851851851852,0.639524647887324,0.7068965517241379,0.6875
GPR132,0.0,0.019417475728155338,0.07880924402663533,0.07692307692307693,0.05042016806722689,0.016887816646562123,0.024691358024691357,0.12015845070422536,0.25,0.15625
HNRNPK,0.5714285714285714,0.7734627831715211,0.7116333725029377,0.46153846153846156,0.6386554621848739,0.3039806996381182,0.7469135802469136,0.7099471830985915,0.7672413793103449,0.875
PPP2R2D,0.0,0.1941747572815534,0.09596553074813945,0.0,0.04201680672268908,0.03618817852834741,0.17901234567901234,0.09639084507042253,0.05172413793103448,0.125
LIN37,0.0,0.05501618122977346,0.035801018409714065,0.0,0.036414565826330535,0.009650180940892641,0.1111111111111111,0.05985915492957746,0.07758620689655173,0.0625
ATP5F1E,0.9642857142857143,0.9644012944983819,0.9927144535840188,1.0,0.9663865546218487,0.8262967430639324,0.9753086419753086,0.9903169014084507,1.0,1.0
UNC93B1,0.32142857142857145,0.47249190938511326,0.5399921660791226,0.15384615384615385,0.15966386554621848,0.14837153196622438,0.41358024691358025,0.1800176056338028,0.5,0.59375
AL139089.1,0.03571428571428571,0.016181229773462782,0.005953779866823345,0.0,0.014005602240896359,0.0,0.012345679012345678,0.011003521126760563,0.008620689655172414,0.0
RRAGB,0.07142857142857142,0.07119741100323625,0.03290246768507638,0.0,0.028011204481792718,0.0036188178528347406,0.043209876543209874,0.02420774647887324,0.04310344827586207,0.03125
